site,driver,ensemble_weight,season
S1-Ulhas River,ph,0.23254700518858334,monsoon
S1-Ulhas River,dissolvedo2,0.1780373688354148,monsoon
S1-Ulhas River,chlorophyll,0.14017424215158844,monsoon
S1-Ulhas River,temp,0.12713437065693708,monsoon
S1-Ulhas River,bga,0.12219594425054893,monsoon
S1-Ulhas River,tds,0.1102119483070294,monsoon
S1-Ulhas River,orp,0.08969912060989803,monsoon
S10-Chivla River,ph,0.22788041350659355,monsoon
S10-Chivla River,dissolvedo2,0.17743999546774505,monsoon
S10-Chivla River,tds,0.13613222893056467,monsoon
S10-Chivla River,bga,0.12276105084848181,monsoon
S10-Chivla River,temp,0.1169772986580641,monsoon
S10-Chivla River,chlorophyll,0.1110206344260897,monsoon
S10-Chivla River,orp,0.10778837816246124,monsoon
S11-Powai Lake,ph,0.2467531290482234,monsoon
S11-Powai Lake,dissolvedo2,0.17511155877848217,monsoon
S11-Powai Lake,tds,0.1461472676996284,monsoon
S11-Powai Lake,temp,0.12736430180643488,monsoon
S11-Powai Lake,bga,0.10971579844300683,monsoon
S11-Powai Lake,chlorophyll,0.09796141554038414,monsoon
S11-Powai Lake,orp,0.09694652868384003,monsoon
S2-Kalu River,ph,0.20836922618576828,monsoon
S2-Kalu River,chlorophyll,0.16413170862138868,monsoon
S2-Kalu River,temp,0.14564236239903058,monsoon
S2-Kalu River,dissolvedo2,0.13172453934212208,monsoon
S2-Kalu River,tds,0.1271316347905573,monsoon
S2-Kalu River,bga,0.11967273026567778,monsoon
S2-Kalu River,orp,0.10332779839545535,monsoon
S3-Ambernath Lake,chlorophyll,0.22905299039991112,monsoon
S3-Ambernath Lake,ph,0.17079346692668299,monsoon
S3-Ambernath Lake,temp,0.13135678320644711,monsoon
S3-Ambernath Lake,bga,0.12474895475901268,monsoon
S3-Ambernath Lake,orp,0.12457432310452074,monsoon
S3-Ambernath Lake,dissolvedo2,0.11751638806960842,monsoon
S3-Ambernath Lake,tds,0.1019570935338169,monsoon
S4-Bhandup Lake,temp,0.20928862746236324,monsoon
S4-Bhandup Lake,ph,0.20627399198207083,monsoon
S4-Bhandup Lake,dissolvedo2,0.14188668245733052,monsoon
S4-Bhandup Lake,orp,0.11808373652533209,monsoon
S4-Bhandup Lake,bga,0.1099978661523721,monsoon
S4-Bhandup Lake,tds,0.10744960739808145,monsoon
S4-Bhandup Lake,chlorophyll,0.1070194880224498,monsoon
S5-Dhamapur Lake,temp,0.252123007657904,monsoon
S5-Dhamapur Lake,tds,0.15277577635684583,monsoon
S5-Dhamapur Lake,dissolvedo2,0.1441309911187876,monsoon
S5-Dhamapur Lake,ph,0.1389075186752559,monsoon
S5-Dhamapur Lake,bga,0.107520265115484,monsoon
S5-Dhamapur Lake,chlorophyll,0.10507950333170304,monsoon
S5-Dhamapur Lake,orp,0.09946293774401968,monsoon
S6-Shirpur Lake,ph,0.2930700522564704,monsoon
S6-Shirpur Lake,tds,0.13820898396515363,monsoon
S6-Shirpur Lake,dissolvedo2,0.13104714932948186,monsoon
S6-Shirpur Lake,orp,0.11624013175117903,monsoon
S6-Shirpur Lake,temp,0.1157069802148662,monsoon
S6-Shirpur Lake,bga,0.11454064042307416,monsoon
S6-Shirpur Lake,chlorophyll,0.09118606205977456,monsoon
S7-Varawade River,ph,0.28438952139475593,monsoon
S7-Varawade River,dissolvedo2,0.1577639374141244,monsoon
S7-Varawade River,tds,0.14186767358810176,monsoon
S7-Varawade River,chlorophyll,0.12633126381771828,monsoon
S7-Varawade River,temp,0.11971991965532945,monsoon
S7-Varawade River,bga,0.08924236391094272,monsoon
S7-Varawade River,orp,0.08068532021902751,monsoon
S8-Gotli River,ph,0.26072251920038614,monsoon
S8-Gotli River,dissolvedo2,0.15399732081525114,monsoon
S8-Gotli River,bga,0.13067989300314892,monsoon
S8-Gotli River,orp,0.12465384391752933,monsoon
S8-Gotli River,temp,0.1199276479017076,monsoon
S8-Gotli River,tds,0.10652766524285462,monsoon
S8-Gotli River,chlorophyll,0.10349110991912232,monsoon
S9-Karli River,ph,0.24514602493472512,monsoon
S9-Karli River,chlorophyll,0.1688574533637242,monsoon
S9-Karli River,bga,0.12487305206414169,monsoon
S9-Karli River,tds,0.12179111379744066,monsoon
S9-Karli River,orp,0.11855543783229028,monsoon
S9-Karli River,temp,0.11831491373363548,monsoon
S9-Karli River,dissolvedo2,0.1024620042740427,monsoon
