site,driver,ensemble_weight,season
S1-Ulhas River,ph,0.18323910104307722,postmonsoon
S1-Ulhas River,temp,0.17957086073270473,postmonsoon
S1-Ulhas River,dissolvedo2,0.14821958424110596,postmonsoon
S1-Ulhas River,chlorophyll,0.13205624437674396,postmonsoon
S1-Ulhas River,tds,0.11919059733633182,postmonsoon
S1-Ulhas River,orp,0.11904960491751966,postmonsoon
S1-Ulhas River,bga,0.11867400735251678,postmonsoon
S10-Chivla River,ph,0.27295671541919614,postmonsoon
S10-Chivla River,bga,0.133946923707929,postmonsoon
S10-Chivla River,temp,0.13268338363818538,postmonsoon
S10-Chivla River,orp,0.13170594893177864,postmonsoon
S10-Chivla River,chlorophyll,0.12339703754587092,postmonsoon
S10-Chivla River,dissolvedo2,0.12256525292817558,postmonsoon
S10-Chivla River,tds,0.08274473782886434,postmonsoon
S11-Powai Lake,ph,0.2758433742765082,postmonsoon
S11-Powai Lake,temp,0.1741665440332565,postmonsoon
S11-Powai Lake,bga,0.12826671253341793,postmonsoon
S11-Powai Lake,orp,0.12261830022736557,postmonsoon
S11-Powai Lake,tds,0.10850283041504227,postmonsoon
S11-Powai Lake,chlorophyll,0.09995679798331912,postmonsoon
S11-Powai Lake,dissolvedo2,0.09064544053109033,postmonsoon
S2-Kalu River,ph,0.2553787106603125,postmonsoon
S2-Kalu River,temp,0.15293754280262842,postmonsoon
S2-Kalu River,bga,0.13273328008151467,postmonsoon
S2-Kalu River,tds,0.1286292750276388,postmonsoon
S2-Kalu River,chlorophyll,0.12411482812786813,postmonsoon
S2-Kalu River,dissolvedo2,0.10376311976535413,postmonsoon
S2-Kalu River,orp,0.10244324353468345,postmonsoon
S3-Ambernath Lake,chlorophyll,0.24039490229079516,postmonsoon
S3-Ambernath Lake,ph,0.1627659190777073,postmonsoon
S3-Ambernath Lake,dissolvedo2,0.12947263640189263,postmonsoon
S3-Ambernath Lake,temp,0.12427967060747472,postmonsoon
S3-Ambernath Lake,tds,0.12065969428997002,postmonsoon
S3-Ambernath Lake,bga,0.11914871352407133,postmonsoon
S3-Ambernath Lake,orp,0.10327846380808876,postmonsoon
S4-Bhandup Lake,ph,0.18674213472894127,postmonsoon
S4-Bhandup Lake,temp,0.17416248012934085,postmonsoon
S4-Bhandup Lake,chlorophyll,0.14760351882513298,postmonsoon
S4-Bhandup Lake,orp,0.1446853113120778,postmonsoon
S4-Bhandup Lake,dissolvedo2,0.14227054969917396,postmonsoon
S4-Bhandup Lake,tds,0.10639238311039843,postmonsoon
S4-Bhandup Lake,bga,0.09814362219493476,postmonsoon
S5-Dhamapur Lake,ph,0.24411060079951716,postmonsoon
S5-Dhamapur Lake,temp,0.1797700757935404,postmonsoon
S5-Dhamapur Lake,orp,0.13799920656546166,postmonsoon
S5-Dhamapur Lake,tds,0.12890566981860188,postmonsoon
S5-Dhamapur Lake,dissolvedo2,0.10599363106779415,postmonsoon
S5-Dhamapur Lake,chlorophyll,0.10480821632141567,postmonsoon
S5-Dhamapur Lake,bga,0.09841259963366904,postmonsoon
S6-Shirpur Lake,ph,0.23234279364605057,postmonsoon
S6-Shirpur Lake,temp,0.14653618872882665,postmonsoon
S6-Shirpur Lake,chlorophyll,0.1402393274309815,postmonsoon
S6-Shirpur Lake,orp,0.13594198105962238,postmonsoon
S6-Shirpur Lake,dissolvedo2,0.1232086506641407,postmonsoon
S6-Shirpur Lake,tds,0.11472143646003508,postmonsoon
S6-Shirpur Lake,bga,0.10700962201034304,postmonsoon
S7-Varawade River,ph,0.24442357538479514,postmonsoon
S7-Varawade River,chlorophyll,0.15451054411860676,postmonsoon
S7-Varawade River,dissolvedo2,0.1437105106919593,postmonsoon
S7-Varawade River,bga,0.13465875721421522,postmonsoon
S7-Varawade River,temp,0.1338971882159979,postmonsoon
S7-Varawade River,orp,0.09759977219277569,postmonsoon
S7-Varawade River,tds,0.09119965218165005,postmonsoon
S8-Gotli River,ph,0.21092332799583394,postmonsoon
S8-Gotli River,orp,0.1518723032934059,postmonsoon
S8-Gotli River,temp,0.15147921489354332,postmonsoon
S8-Gotli River,chlorophyll,0.14186343436533486,postmonsoon
S8-Gotli River,bga,0.12422237519047856,postmonsoon
S8-Gotli River,tds,0.11082028815027274,postmonsoon
S8-Gotli River,dissolvedo2,0.10881905611113074,postmonsoon
S9-Karli River,ph,0.255169727237105,postmonsoon
S9-Karli River,temp,0.17102872130158042,postmonsoon
S9-Karli River,chlorophyll,0.1292363608040671,postmonsoon
S9-Karli River,bga,0.12044330397466807,postmonsoon
S9-Karli River,dissolvedo2,0.11834735347053785,postmonsoon
S9-Karli River,orp,0.10801088225745106,postmonsoon
S9-Karli River,tds,0.09776365095459051,postmonsoon
