season,site,feature,site_min,site_max,site_range
premonsoon,S1-Ulhas River,dissolvedo2,7.4975,184.9895,177.492
premonsoon,S1-Ulhas River,orp,-2582.021,1163.9693,3745.9903
premonsoon,S1-Ulhas River,ph,0.0015,10.89,10.8885
premonsoon,S1-Ulhas River,tds,0.0,4879.5007,4879.5007
premonsoon,S1-Ulhas River,temp,14.05,44.4756,30.4256
premonsoon,S1-Ulhas River,turbidity,0.0,12.0477,12.0477
premonsoon,S1-Ulhas River,bga,33.8105,35537.3124,35503.5019
premonsoon,S1-Ulhas River,chlorophyll,2.5,79.5302,77.0302
premonsoon,S2-Kalu River,dissolvedo2,0.0,211.3649,211.3649
premonsoon,S2-Kalu River,orp,-954.0,0.0,954.0
premonsoon,S2-Kalu River,ph,0.0798,10.89,10.8102
premonsoon,S2-Kalu River,tds,0.0,3620.4209,3620.4209
premonsoon,S2-Kalu River,temp,15.6678,42.7672,27.0994
premonsoon,S2-Kalu River,bga,0.0,76968.3527,76968.3527
premonsoon,S2-Kalu River,chlorophyll,0.0,531.36,531.36
premonsoon,S3-Ambernath Lake,dissolvedo2,54.64,168.0961,113.4561
premonsoon,S3-Ambernath Lake,orp,-3000.0,461.031,3461.031
premonsoon,S3-Ambernath Lake,ph,0.4127,8.4634,8.0507
premonsoon,S3-Ambernath Lake,tds,-399.9915,2299.9467,2699.9382
premonsoon,S3-Ambernath Lake,temp,6.3176,44.6732,38.3556
premonsoon,S3-Ambernath Lake,turbidity,0.0,9.9512,9.9512
premonsoon,S3-Ambernath Lake,bga,102063.6775,110789.3494,8725.6719
premonsoon,S3-Ambernath Lake,chlorophyll,257.9772,260.1594,2.1822
premonsoon,S4-Bhandup Lake,dissolvedo2,0.0,246.0572,246.0572
premonsoon,S4-Bhandup Lake,orp,-2267.6334,2179.9541,4447.5875
premonsoon,S4-Bhandup Lake,ph,5.6799,11.1751,5.4952
premonsoon,S4-Bhandup Lake,tds,0.0,4445.439,4445.439
premonsoon,S4-Bhandup Lake,temp,6.0723,44.9656,38.8933
premonsoon,S4-Bhandup Lake,bga,41786.4102,146967.271,105180.8608
premonsoon,S4-Bhandup Lake,chlorophyll,193.8003,241.5922,47.7919
premonsoon,S5-Dhamapur Lake,dissolvedo2,0.0,239.2403,239.2403
